Transfection,Replicate,Receptor,Negative,5-HTP,Levodopa,Dihydroxy-phenylacetic acid,Kynurenine,Norphenylephrine,Methyltyramine,Synephrine,Normetanephrine,Acetylserotonin,Dopamine,Serotonin,Melatonin,Acetyltryptamine,Acetylhistamine,Acetyltyramine,Octopamine,Tyramine,Tryptamine,Phenethylamine
2,4,Tadh_153,1519.526482,1917.856773,1688.71278,1610.021975,1132.998304,20258.76863,908.3313486,775.2418238,6444.266478,712.474728,17291.70366,22164.585,1760.36252,4917.40634,1126.47457,900.0177314,2598.826777,9101.137041,28678.99771,17957.13028
2,5,Tadh_153,1804.756804,2414.341474,2141.534182,1790.417371,1261.780414,20107.58954,1019.902454,900.7921486,6531.911383,760.8343558,16050.50027,21793.10095,1649.761748,5002.574449,1239.881428,1486.846102,2837.634729,8530.582031,25316.68872,19329.97662
2,6,Tadh_153,1715.796593,2778.058245,1786.954243,1977.56829,1194.322149,24242.40174,971.026908,629.0245302,6736.417951,698.0590896,19225.10146,22259.75082,1706.059707,4840.246748,1237.743565,1048.247601,3173.964313,8938.006649,26161.24802,19018.74145
1,1,Tadh_153,223.2461184,223.3350144,195.2941324,188.2803648,153.5895776,3110.329144,244.5375612,583.89108,517.1599916,238.230976,1820.242022,3682.706324,243.973552,1160.841117,139.6761168,237.4255324,167.5292172,1630.934187,7078.749191,5278.225706
1,2,Tadh_153,250.8839304,125.6214528,83.4337464,153.3157472,174.415564,4125.864031,140.0194476,265.6118488,859.617578,154.0077052,1883.984486,3834.440433,304.567984,622.9040888,167.1521628,167.3775132,195.3569436,1953.005726,8568.349836,4389.985926
1,3,Tadh_153,364.0075488,202.6017792,195.1478736,188.1919936,265.0989484,4074.02306,160.4142832,174.7044348,824.7425228,174.9092588,1932.011827,3553.941448,153.1831904,853.0421756,181.502146,189.7411352,195.4676152,1639.199694,7867.621007,4208.124171
2,4,Tadh_165,1399.480221,1422.429891,1413.048112,1538.267875,994.9964132,745.4754139,14293.07172,8058.286008,809.2780428,647.9524664,667.8257,5514.647496,1504.080933,1240.286991,1231.511652,891.6626851,3294.87519,27862.07656,2985.859408,977.5678308
2,5,Tadh_165,2088.390314,1281.464674,1467.38704,1462.76916,1057.055979,884.6871055,16209.27256,9840.916151,760.3317314,745.565376,755.74031,4036.06897,1016.87944,1276.228715,1098.959704,1030.85671,2867.101058,26869.99773,2546.978028,1209.113829
2,6,Tadh_165,1656.096251,1519.558121,1434.133936,1413.893113,911.1668062,988.7994771,14072.39732,10175.53523,900.169543,606.2848228,598.93793,5423.234433,1093.619681,1135.136088,855.9238866,843.0564727,2874.656176,25883.90409,2233.629957,900.7746536
1,1,Tadh_165,180.235824,325.6054236,393.5573532,200.4807396,194.2079768,200.7052864,6352.267495,1842.953102,152.7590992,187.2384484,726.63423,663.8168248,179.8393256,470.4974124,229.344318,269.7534336,332.692416,16886.86577,1185.16732,437.4538236
1,2,Tadh_165,194.203184,352.761804,214.0189308,138.349094,186.999908,263.1497344,7036.627914,2460.888154,138.5156056,491.8103716,615.26067,1131.884779,248.7274912,276.6781408,179.9653604,166.2223488,526.6555144,16698.54027,886.7141112,388.802894
1,3,Tadh_165,214.8936,276.9699312,358.7565924,263.359262,249.4370176,276.406496,7644.831772,2981.002923,215.2053232,193.6414288,1740.02103,386.83479,242.5082412,352.9676764,353.6667228,235.1278912,242.4380616,13360.14081,969.5671904,333.0760468
2,4,Tadh_168,702.4323538,820.5669964,687.9479754,875.4895836,508.6483542,487.7884346,593.944221,711.0129332,865.5216996,726.2202972,1064.283609,1291.877191,792.3117216,5481.078536,773.6093654,718.2055552,946.265266,773.6859992,33690.61233,1068.867353
2,5,Tadh_168,729.8553372,917.8854594,875.237877,848.2949852,655.3378292,962.8108532,895.9621302,843.0329624,642.7068492,684.1402344,889.4405214,1208.451314,673.832781,6058.670154,946.7352928,739.3731484,777.5853008,620.7201684,31626.32811,684.1243436
2,6,Tadh_168,931.8871168,1105.241662,1007.184538,687.8406438,1044.129281,850.5570926,714.6714704,710.815534,1096.775177,754.6017296,938.524215,1506.249718,806.189115,6701.037707,1002.7098,782.1462626,645.5829484,759.1835068,35593.47797,768.1721964
1,1,Tadh_168,110.8288896,345.8245884,138.3874948,276.5297448,243.238446,262.6945248,228.3107612,221.4386996,326.1539756,290.74962,235.387188,437.9695672,179.6931036,3061.603242,201.5965072,270.0217576,187.2030292,179.8759032,23139.03733,2546.378312
1,2,Tadh_168,124.7820288,332.744778,402.2290612,131.2460172,277.3859888,227.9577464,297.3706028,173.3379044,347.5528232,131.23504,332.3221404,339.4810988,220.9405212,4900.150931,222.0811896,387.4077316,166.6991808,296.8326184,25280.4706,3318.021513
1,3,Tadh_168,214.5913364,235.3624884,166.1644276,276.6557664,131.4566472,263.1341264,207.2330136,193.9011864,235.5364888,269.8865388,602.8870476,790.1533836,207.31923,4106.426634,277.19657,262.8398136,291.896882,236.4489352,28660.82014,3179.802617
2,4,Tadh_170,1601.330649,2024.533987,1627.617582,1311.872113,1168.740833,1163.853891,1093.659043,932.3315392,946.7808795,1822.35564,2240.999509,14824.10233,1094.891178,3177.55176,1085.202577,879.6005428,1960.551882,2113.874045,10920.88721,1593.950732
2,5,Tadh_170,1976.420078,2096.018609,1836.51863,1325.227483,1009.12968,946.9889667,1093.176733,1084.157122,1050.626508,1795.129254,2324.937553,14884.01216,1340.854991,3302.423949,1363.445304,1074.773285,1974.762101,2260.364126,12210.51403,1544.318057
2,6,Tadh_170,1594.198958,1716.049427,1473.541819,1477.85762,891.0207424,1115.480586,1051.439062,1042.328946,786.3299658,1949.063652,2219.721889,14189.24961,1330.743561,2773.287537,932.2525064,1086.449398,1971.656407,1960.935899,14171.92472,1545.905915
1,1,Tadh_170,791.71011,975.506496,466.917194,410.390318,411.1015824,341.7185084,292.4207512,243.0565928,645.7089404,987.1141248,836.3837496,6310.17871,597.8988964,2981.637186,522.3152104,1141.797422,3285.547726,1062.917355,6659.30181,1936.51018
1,2,Tadh_170,587.4393072,1142.8138,917.121754,778.7506212,577.6316364,788.052942,313.3887988,333.342542,835.8548704,1159.160474,626.8493616,6498.01747,591.3279904,2743.680725,668.8347716,495.065438,3347.451478,1200.405048,8471.25211,790.3941392
1,3,Tadh_170,935.6048412,913.0599428,868.8039388,626.074688,340.9020508,799.6152912,743.600404,424.266554,305.3682128,1207.631007,2335.896838,10781.09306,730.3820672,2555.696832,383.37008,389.681102,3341.202226,1978.406871,6868.25043,867.1565592
1,1,Tadh_173,911.6864868,1418.181707,1032.570743,1011.529442,948.6909432,840.1790039,881.8378767,940.6598826,840.3877917,772.1699625,1790.44324,3542.436582,1101.21517,1274.645974,914.5143469,818.6761641,681.1447362,794.8221787,3729.101126,940.5076502
1,2,Tadh_173,1384.103526,1335.785619,1266.234315,1211.71281,969.576146,881.0606101,995.735982,821.070472,916.8148265,611.323281,1664.060074,3505.745505,935.866316,1080.925525,582.2528096,839.8792948,792.5705914,697.1078792,3732.135177,891.7239753
1,3,Tadh_173,1287.887127,1329.600099,1115.392749,778.0256,1251.737503,638.3956633,938.6089783,946.4625067,751.8831077,828.7137135,2851.481453,3595.521028,770.87824,1045.380486,991.4803899,853.7544858,652.8358513,822.1739049,3277.729558,836.2362568
2,4,Tadh_173,1537.689148,2977.263251,2778.409167,1785.076611,1229.602777,1052.925805,1298.981081,1174.155541,880.5812016,997.8293642,1799.510297,5363.075979,1792.153533,2125.410234,1207.710762,841.5919798,1257.22511,1608.301359,7017.432914,1255.182399
2,5,Tadh_173,1270.997728,1663.710233,2975.218546,2257.194918,1514.789691,1122.160296,1943.529824,1025.713435,1239.233202,1132.957779,1615.371225,4855.871409,1912.002069,2133.898409,1783.075678,869.876381,1207.951132,1368.991103,6448.176303,1199.192
2,6,Tadh_173,1979.315661,1056.819499,2523.958187,2215.016089,1223.026669,974.6116964,1635.18863,1018.189834,781.7768822,1062.936347,1898.90829,5858.514794,1792.413707,2071.325807,1355.210967,1234.007898,1207.278218,1389.759855,5744.954381,1192.720547
3,7,Tadh_153,1720.558609,990.9195488,1274.327567,,,,,,,,6872.607989,17957.28733,1017.492357,,,,5415.682843,15160.81798,26932.88948,19120.16205
3,8,Tadh_153,1852.44209,914.9671904,1244.582766,,,,,,,,7829.363377,17834.17059,1027.527882,,,,7820.704764,14162.16689,26898.94049,28487.39552
3,7,Tadh_165,1842.219801,1441.346794,2408.61714,,,,,,,,6237.604527,13646.52394,1112.203986,,,,6287.601997,19076.61251,20295.83335,19735.35928
3,8,Tadh_165,937.0510864,496.110552,2203.16006,,,,,,,,1074.11247,14402.38537,872.6180288,,,,9651.132739,36434.89721,29990.45793,16930.58504
3,7,Tadh_168,785.6720672,604.8874176,1428.923467,,,,,,,,1396.866778,2031.758518,1917.868452,,,,2354.31917,3574.041291,12671.49267,7017.17684
3,8,Tadh_168,958.9846432,684.4435944,1454.547531,,,,,,,,2066.220694,2530.276877,1715.036935,,,,2421.106375,4094.239081,15158.47182,12357.18715
3,7,Tadh_170,2045.051706,1428.923467,604.8874176,,,,,,,,1396.866778,10031.75852,1917.868452,,,,7354.31917,6574.041291,10671.49267,17017.17684
3,8,Tadh_170,1185.802675,1454.547531,684.4435944,,,,,,,,2066.220694,12530.27688,1715.036935,,,,8821.106375,4094.239081,15158.47182,12357.18715
3,7,Tadh_173,1587.971132,1208.478096,1878.055907,,,,,,,,1290.813946,7105.998608,1280.697448,,,,1490.025484,2858.256369,16272.67996,1597.626946
3,8,Tadh_173,1632.017735,1622.519889,1590.778732,,,,,,,,1199.861142,7562.281799,1100.080952,,,,1426.367734,3373.415356,19551.1436,1884.877096
3,9,Tadh_173,1788.076782,1217.509113,1725.86754,,,,,,,,1246.433378,7113.664382,1595.261586,,,,1796.157523,1355.831518,9902.938997,1777.935314
