Transfection,Replicate,Receptor,Negative,5-HTP,Levodopa,Dihydroxy phenylacetic acid,Kynurenine,Norphenylephrine,Methyltyramine,Synephrine,Normetanephrine,Hydroxy kynurenine,Dopamine,Serotonin,Melatonin,Acetyltryptamine,Acetylhistamine,Acetyltyramine,Octopamine,Tyramine,Tryptamine,Phenylethylamine,Acetyl-5HT
1,1,hMelA,3759.327103,5658.724991,2633.591569,3635.527167,2058.271029,1291.463552,1800.917984,1554.976379,1040.923588,1206.165619,9113.81004,5524.078681,15897.29233,4930.032502,2129.200881,1377.224544,1630.60758,1533.516317,1404.206954,1303.323695,
1,2,hMelA,2815.388061,6242.304315,4706.522482,4577.490079,2584.287479,1599.792782,1524.26634,1820.709711,864.2342864,1249.205275,8180.455134,5722.316916,13849.33679,4024.36544,1897.051386,1628.692896,1672.334929,1617.558474,1307.626832,1017.22128,
1,3,hMelA,1457.575532,5706.394808,4160.058534,4944.326408,2036.375594,1607.462536,1413.289269,1435.103672,1132.6984,1199.820233,7946.150119,5833.021381,15089.71561,3860.300364,1587.064136,1290.841352,1575.201551,1392.782286,1279.135112,925.2125528,
2,4,hMelA,1823.094204,1611.775381,1271.179507,1255.852469,1532.164356,1608.36307,1889.628751,1211.566064,1838.13041,1466.763701,805.5631778,4425.254264,17356.85529,14579.51391,1629.98361,8169.992565,1660.925641,2063.207124,4877.014339,1734.417056,5299.357622
2,5,hMelA,1563.281367,1310.801339,1145.844817,1334.999916,1118.579469,1581.97132,1901.96846,1296.692795,2741.560048,1785.880542,1159.982665,3989.301817,19973.27199,16912.27747,1622.627556,9658.131398,1869.351758,1752.791035,18713.36614,1650.411465,6196.177425
2,6,hMelA,1639.738793,1532.286203,1565.959711,1510.882363,1441.34431,2040.126248,2066.64367,1577.296188,2812.974832,1609.483737,969.7881118,3302.653663,18224.24639,15013.78874,1578.598584,8564.11852,1385.989018,1720.357739,2616.853431,1537.163451,5308.067205
3,7,hMelA,1022.377368,,,,,,,,,,,,,,,,,,,,8770.643941
3,8,hMelA,1111.389766,,,,,,,,,,,,,,,,,,,,9496.807392
3,9,hMelA,1778.887873,,,,,,,,,,,,,,,,,,,,8402.611211
1,1,hMelB,2888.837614,4226.424652,2254.758399,3229.483981,2041.450077,1410.454394,1250.599793,1173.699826,864.428202,914.0222044,8034.68294,3766.856911,27648.42581,22209.51732,2071.560338,11441.76693,1313.857819,1518.771046,6301.743734,1961.319161,
1,2,hMelB,1837.452957,3805.684848,2977.590409,2521.305799,2973.493894,1362.183271,1439.721603,1250.307767,738.5056738,815.764423,6741.302281,4054.385873,28800.77044,21960.99866,1928.895152,13712.67699,1391.454764,1189.050386,8955.660904,8284.020777,
1,3,hMelB,1682.986191,4727.641242,3199.125235,3359.022302,1817.347944,1200.524527,1335.226162,1208.737101,822.9487002,1074.752243,6871.305951,4103.615266,23696.51517,22462.68786,1520.213479,13739.93784,1341.641877,1047.805365,7174.097081,7397.645759,
2,4,hMelB,2311.736582,1867.640115,1453.026657,1955.753408,1196.813344,1944.756619,1753.076388,1946.030902,1781.559797,1734.649744,1932.912063,4832.989556,18763.19917,19421.85203,2334.35479,17920.96801,2250.848787,2337.04407,8066.970181,1852.733813,10993.25362
2,5,hMelB,3043.059551,2645.449648,1483.967402,1768.590162,1254.410687,2153.346882,2975.360403,2473.90416,2845.469288,2366.847181,1957.270453,5909.748016,19103.9858,14721.33241,1782.010254,17473.37266,2328.121939,2233.222243,6921.18524,2315.571442,11267.68375
2,6,hMelB,2661.043122,2120.18864,1661.034579,2059.804379,1847.642173,2589.255614,2032.686966,1978.47208,2755.634539,2274.411834,1394.079419,5189.893903,16259.65375,15186.4123,1795.329111,15119.37969,2075.121558,2056.36392,6992.716908,1798.576005,10992.96073
3,7,hMelB,2848.863695,,,,,,,,,,,,,,,,,,,,12935.43672
3,8,hMelB,2337.442598,,,,,,,,,,,,,,,,,,,,13091.51262
3,9,hMelB,1308.434075,,,,,,,,,,,,,,,,,,,,12120.46426
